Prot_A,Prot_B,score,Disease
CHRM1,LPAR1,0.916,Alzheimer's Disease
CHRM1,LPAR6,0.931,Alzheimer's Disease
F2R,LPAR6,0.904,Alzheimer's Disease
F2R,LPAR4,0.905,Alzheimer's Disease
F2R,LPAR5,0.907,Alzheimer's Disease
F2R,LPAR3,0.915,Alzheimer's Disease
F2R,CHRM2,0.919,Alzheimer's Disease
F2R,LPAR2,0.923,Alzheimer's Disease
F2R,LPAR1,0.945,Alzheimer's Disease
F2R,ARRB2,0.962,Alzheimer's Disease
F2R,ARRB1,0.962,Alzheimer's Disease
LPAR3,CHRM2,0.9,Alzheimer's Disease
LPAR3,LPAR1,0.938,Alzheimer's Disease
LPAR3,LPAR2,0.949,Alzheimer's Disease
LPAR3,LPAR4,0.987,Alzheimer's Disease
LPAR3,LPAR5,0.987,Alzheimer's Disease
LPAR3,LPAR6,0.993,Alzheimer's Disease
GNG12,CHRM5,0.903,Alzheimer's Disease
GNG12,CHRM2,0.913,Alzheimer's Disease
LPAR1,CHRM2,0.91,Alzheimer's Disease
LPAR1,LPAR2,0.953,Alzheimer's Disease
LPAR1,LPAR5,0.987,Alzheimer's Disease
LPAR1,LPAR6,0.992,Alzheimer's Disease
LPAR1,LPAR4,0.994,Alzheimer's Disease
LPAR6,CHRM2,0.901,Alzheimer's Disease
LPAR6,LPAR4,0.906,Alzheimer's Disease
LPAR6,LPAR5,0.918,Alzheimer's Disease
LPAR6,LPAR2,0.987,Alzheimer's Disease
CHRM5,KNG1,0.903,Alzheimer's Disease
LPAR5,CHRM2,0.905,Alzheimer's Disease
LPAR5,LPAR4,0.92,Alzheimer's Disease
LPAR5,LPAR2,0.988,Alzheimer's Disease
CHRM2,LPAR2,0.9,Alzheimer's Disease
CHRM2,LPAR4,0.902,Alzheimer's Disease
CHRM2,KNG1,0.904,Alzheimer's Disease
CHRM2,ARRB1,0.956,Alzheimer's Disease
LPAR4,LPAR2,0.988,Alzheimer's Disease
GNAI2,GNG10,0.94,Alzheimer's Disease
GNG12,CHRM4,0.91,Alzheimer's Disease
CHRM4,KNG1,0.905,Alzheimer's Disease
KCNQ1,CPX-3071,0.992,Alzheimer's Disease
KCNQ1,KCNE2,0.999,Alzheimer's Disease
KCNQ1,KCNE3,0.999,Alzheimer's Disease
KCNQ1,KCNE1,0.999,Alzheimer's Disease
KCNH2,KCNH6,0.883,Alzheimer's Disease
KCNH2,HSP90AA1,0.958,Alzheimer's Disease
HSPA4,HSP90AB1,0.999,Alzheimer's Disease
HSPA4,HSP90AA1,0.999,Alzheimer's Disease
SCN4B,SCN5A,0.994,Alzheimer's Disease
HSP90AA1,CAV3,0.848,Alzheimer's Disease
HSP90AA1,HSP90AB1,0.997,Alzheimer's Disease
CAV3,HSP90AB1,0.848,Alzheimer's Disease
APEX1,APEX2,0.942,Alzheimer's Disease
APEX1,POLB,0.998,Alzheimer's Disease
APEX1,FEN1,0.998,Alzheimer's Disease
XRCC1,XRCC6,0.985,Alzheimer's Disease
XRCC1,LIG3,0.999,Alzheimer's Disease
XRCC1,APLF,0.999,Alzheimer's Disease
XRCC1,APTX,0.999,Alzheimer's Disease
XRCC1,PNKP,0.999,Alzheimer's Disease
XRCC1,PARP1,0.999,Alzheimer's Disease
XRCC1,POLB,0.999,Alzheimer's Disease
POLB,APLF,0.888,Alzheimer's Disease
POLB,TDP1,0.963,Alzheimer's Disease
POLB,FEN1,0.987,Alzheimer's Disease
POLB,PNKP,0.995,Alzheimer's Disease
POLB,PARP1,0.996,Alzheimer's Disease
POLB,LIG3,0.999,Alzheimer's Disease
ATM,ERCC4,0.965,Alzheimer's Disease
ATM,PRKDC,0.971,Alzheimer's Disease
ATM,XRCC6,0.997,Alzheimer's Disease
ATM,XRCC5,0.998,Alzheimer's Disease
APLF,TDP1,0.905,Alzheimer's Disease
APLF,PARP1,0.919,Alzheimer's Disease
APLF,LIG3,0.969,Alzheimer's Disease
APLF,XRCC6,0.992,Alzheimer's Disease
APLF,XRCC5,0.999,Alzheimer's Disease
MUS81,ERCC4,0.994,Alzheimer's Disease
ERCC4,PRKDC,0.935,Alzheimer's Disease
ERCC4,XRCC6,0.972,Alzheimer's Disease
ERCC4,XRCC5,0.976,Alzheimer's Disease
PRKDC,XRCC5,0.999,Alzheimer's Disease
PRKDC,XRCC6,0.999,Alzheimer's Disease
PNKP,LIG3,0.997,Alzheimer's Disease
TDP1,LIG3,0.992,Alzheimer's Disease
XRCC6,LIG3,0.994,Alzheimer's Disease
XRCC6,PARP1,0.998,Alzheimer's Disease
XRCC6,XRCC5,0.999,Alzheimer's Disease
TOP1,TOP2A,0.994,Alzheimer's Disease
PARP1,XRCC5,0.996,Alzheimer's Disease
TUBA4A,TUBA1A,0.947,Alzheimer's Disease
TUBA4A,MAPT,0.981,Alzheimer's Disease
TUBA4A,TUBB3,0.993,Alzheimer's Disease
APOE,MAPT,0.991,Alzheimer's Disease
APOE,SNCA,0.996,Alzheimer's Disease
APOE,APP,0.999,Alzheimer's Disease
TUBB2B,MAPT,0.994,Alzheimer's Disease
TUBB2B,TUBA1A,0.997,Alzheimer's Disease
TUBB2B,TUBA1B,0.998,Alzheimer's Disease
MAPK3,MAPT,0.968,Alzheimer's Disease
MAPK3,CASP3,0.985,Alzheimer's Disease
APP,SNCA,0.993,Alzheimer's Disease
CASP3,MAPT,0.98,Alzheimer's Disease
CDK5R1,MAPT,0.969,Alzheimer's Disease
CDK5R1,CDK5,0.999,Alzheimer's Disease
