Prot_A,Prot_B,score,Disease
GRIA4,GRIA1,0.997,Alzheimer's Disease
GRIA4,GRIA2,0.999,Alzheimer's Disease
GRIN2C,HTR3A,0.803,Alzheimer's Disease
GRIN2C,GRIA3,0.809,Alzheimer's Disease
GRIN2C,GRIA2,0.822,Alzheimer's Disease
GRIN2C,GRIA1,0.829,Alzheimer's Disease
GRIN2C,GRIN2A,0.998,Alzheimer's Disease
GRIN2C,GRIN2B,0.998,Alzheimer's Disease
GRIN2C,GRIN3A,0.998,Alzheimer's Disease
GRIN2C,GRIN1,0.999,Alzheimer's Disease
GRIA2,HTR3A,0.806,Alzheimer's Disease
GRIA2,GRIN3A,0.845,Alzheimer's Disease
GRIA2,GRIN2B,0.885,Alzheimer's Disease
GRIA2,GRIN1,0.901,Alzheimer's Disease
GRIA2,GRIN2A,0.933,Alzheimer's Disease
GRIA2,GRIA1,0.999,Alzheimer's Disease
GRIA2,GRIA3,0.999,Alzheimer's Disease
CPX-276,HTR3A,0.993,Alzheimer's Disease
CPX-276,HTR3D,0.995,Alzheimer's Disease
GRIN2A,HTR3A,0.84,Alzheimer's Disease
GRIN2A,GRIA3,0.886,Alzheimer's Disease
GRIN2A,GRIA1,0.926,Alzheimer's Disease
GRIN2A,GRIN1,0.999,Alzheimer's Disease
GRIN2A,GRIN2B,0.999,Alzheimer's Disease
GRIN2A,GRIN3A,0.999,Alzheimer's Disease
HTR3A,GRIN3A,0.779,Alzheimer's Disease
HTR3A,GRIN1,0.787,Alzheimer's Disease
HTR3A,GRIA3,0.796,Alzheimer's Disease
HTR3A,GRIA1,0.814,Alzheimer's Disease
HTR3A,GRIN2B,0.818,Alzheimer's Disease
HTR3A,HTR3E,0.979,Alzheimer's Disease
HTR3A,HTR3D,0.995,Alzheimer's Disease
GRIN3A,GRIA3,0.802,Alzheimer's Disease
GRIN3A,GRIA1,0.815,Alzheimer's Disease
GRIN3A,GRIN1,0.999,Alzheimer's Disease
GRIN3A,GRIN2B,0.999,Alzheimer's Disease
GRIN1,GRIA3,0.877,Alzheimer's Disease
GRIN1,GRIA1,0.907,Alzheimer's Disease
