Acetylcholine-gated channel,Oxidation-reduction process,Cell surface receptor signaling pathway,Positivie regulation of peptidyl-tyrosine phosphorilation,Axon,Voltage-gated calcium channel complex,Adenylate cyclase activity,Transcription coregulator activity,Neuropeptide signaling pathway,Protease binding,Magnesium ion binding,Transmembrane receptor protein tyrosine kinase signaling,Early endosome,Ubiquitin protein ligase activity,B cell differentiation,Insulin receptor siganling pathway,Histone deacetylase binding,Chemokine-mediated signaling pathway,GABA-A receptor complex,RNA pol II distal enhancer sequence-specific DNA binding
P06576,P48448,P35626,Q9UQQ2,P49755,Q9NZ94,P01215,P50416,P48645,O14920,O15078,O75674,,,,,Q15466,,,
Q14739,Q15717,P30556,P04004,Q92876,Q9Y698,O60266,P40424,P30989,Q9NYJ8,P11597,Q00994,,,,,Q08752,,,
Q7L9L4,P07099,O00398,O75791,P31645,Q9UBN1,Q13639,P23771,,P00747,P00519,Q96FE5,,,,,Q8TBC4,,,
Q5T5C0,O15296,P20396,Q12913,Q8WW43,Q13555,P30518,Q13950,,O75369,P19099,P46109,,,,,Q9UBU8,,,
Q13813,Q9H2S1,Q9HB89,O95684,P50440,P07225,O00408,P17483,,P14543,P05026,Q9H1D0,,,,,Q02156,,,
Q9UGM1,Q643R3,P47901,O43157,Q99527,O60391,P20594,P26367,,Q92997,P48735,O43559,,,,,Q16777,,,
Q9Y277,Q06278,Q8NFJ6,P04141,P11279,Q8TBE1,Q14123,,,Q5EG05,O14880,P07333,,,,,O43809,,,
P36544,P23219,Q9GZQ4,P35916,Q96A70,Q08209,P34969,,,P23946,P51164,P30273,,,,,Q969P6,,,
O60939,P09172,P41180,P55075,Q00535,,,,,P08311,Q16822,P07948,,,,,Q9BZK7,,,
P25705,O60733,P04626,Q05397,Q15078,,,,,P01040,O14735,P11215,,,,,,,,
P46098,P78417,O15130,O14745,P17655,,,,,P16035,P20648,Q02763,,,,,,,,
P50993,P11086,Q01970,Q06124,Q9Y2E6,,,,,P17213,Q9NX62,P15498,,,,,,,,
Q14534,P09917,P29371,P15692,P07196,,,,,P09237,Q02218,Q9NWQ8,,,,,,,,
Q16774,P04798,P50052,P04085,P05067,,,,,P00488,Q96PE3,P43405,,,,,,,,
P30532,P11712,P21731,Q8WU20,P63027,,,,,P04070,Q8N3I7,,,,,,,,,
,Q16696,Q93086,Q07889,O00213,,,,,P13224,Q9BW91,,,,,,,,,
,P26439,P0C0P6,P60484,Q86Y01,,,,,P07585,Q9NPH2,,,,,,,,,
,P43353,P01042,P01903,P23975,,,,,P03952,P51649,,,,,,,,,
,P62995,Q15726,P16070,Q02410,,,,,P02679,,,,,,,,,,
,Q9H7Z7,P34981,P01127,Q9NZ42,,,,,Q15628,,,,,,,,,,
,P20711,P25105,P11487,P04271,,,,,Q03405,,,,,,,,,,
,O75342,P04083,P17948,P47755,,,,,A8K2U0,,,,,,,,,,
,P06133,P43088,P10451,P0DJI8,,,,,P09960,,,,,,,,,,
,P33261,P16520,P07339,,,,,,P02768,,,,,,,,,,
